Application/Permit Number,Permit Type,Status,Category,Expiration Date,Location,Zipcode,Expected Construct Year,Expected Construct Month,Description
6543476,Construction,Permit Issued,COMMERCIAL,04/28/2018,"516 3RD AVE
(47.60265669, -122.33052486)",98104,2018,4,"Construct alterations to existing institutional structure (King County Courthouse) at the second floor server room, per plan.  Mechanical is included."
6543546,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/01/2018,"5115 S ANGELINE ST
(47.55920764, -122.26866915)",98118,2018,1,"Alterations to existing single family residence, subject to field inspection (STFI)"
6543549,Construction,Permit Issued,MULTIFAMILY,05/08/2018,"5450 LEARY AVE NW
(47.66790764, -122.38310812)",98107,2018,5,"Construct exterior alterations to existing mixed use building (Canal Station North), per plan."
6543590,Construction,Permit Issued,MULTIFAMILY,05/15/2018,"1417 2ND AVE W
(47.63203957, -122.35954943)",98107,2018,5,"Alterations to 1st floor of existing apartment building to convert carport to 2 dwelling units and occupy, per plans."
6543596,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/18/2018,"6834 31ST AVE NE
(47.67861468, -122.29385022)",98115,2018,1,"Addition and alterations to kitchen of existing single family residcence, subject to field inspection (STFI)."
6543706,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/09/2018,"1024 W RUFFNER ST
(47.65249444, -122.37121017)",98119,2018,6,"Construct alterations to existing single family residence, per plan."
6543707,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/25/2018,"10234 38TH AVE SW
(47.511049, -122.38019763)",98146,2018,4,"Establish use as single family residence and construct one family dwelling, per plans"
6543761,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/28/2018,"3907 S WARSAW ST
(47.54302642, -122.2829433)",98118,2018,4,"Establish use as and construct single family residence, per plan"
6543763,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/02/2018,"7339 51ST AVE NE
(47.68237442, -122.2734194)",98115,2018,8,"Establish use as and Construct new single family residence with attached garage, per plan"
6543788,Construction,Permit Issued,COMMERCIAL,12/30/2017,"550 TERRY AVE N
(47.62398599, -122.3367397)",98109,2017,12,"Interior Tenant Improvement to the east central and southeast portions  of 4th floor of an existing commercial building, subject to field inspection, STFI"
6543794,Construction,Permit Issued,COMMERCIAL,01/05/2018,"300 PINE ST
(47.61130513, -122.33845114)",98181,2018,1,"Tenant improvements to existing 4th floor retail space, subject to field inspection (STFI)."
6543796,Construction,Permit Issued,COMMERCIAL,09/22/2018,"810 3RD AVE
(47.60472034, -122.33262325)",98104,2018,9,"Construct alterations to existing commercial building at the roof top for minor communication antenna facility, per plan."
6543813,Construction,Permit Issued,MULTIFAMILY,05/15/2018,"1546 PALM AVE SW
(47.58934815, -122.38321487)",98116,2018,5,"Reconstruct deck at main floor of south multi-family structure, per plans."
6543827,Construction,Permit Issued,MULTIFAMILY,04/25/2018,"526 1ST AVE S
(47.59731453, -122.33370217)",98104,2018,4,"Construct alterations to existing mixed use building to replace roofing and dormer exterior wall covering, per plan."
6543851,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/01/2018,"8050 11TH AVE NW
(47.68843863, -122.37008462)",98117,2018,1,"Infill current curb cut and create new 10' curb cut approximately 12' from north property line, subject to field inspection (STFI) - street use permit number 301809"
6543868,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/01/2018,"1917 46TH AVE SW
(47.58624434, -122.39077595)",98116,2018,1,"Exterior alterations, add new sheathing and siding to existing single family residence, subject to field inspection(STFI)."
6543895,Construction,Permit Issued,COMMERCIAL,01/01/2018,"7700 GREENWOOD AVE N
(47.68491225, -122.35505724)",98103,2018,1,"Repair non structural fire damage to existing retail space, subject to field inspection (STFI). Revised 10/10/16 Window and seal repair"
6543899,Construction,Permit Issued,COMMERCIAL,04/12/2018,"304 17TH AVE E
(47.6207482, -122.30967241)",98112,2018,4,"Temporary use and install factory constructed trailer on an existing parking lot for a seasonal tree lot, per plans."
6543919,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/01/2018,"13029A 3RD AVE NE
(47.72405472, -122.32701241)",98125,2018,1,Complete and final 6082636
6543957,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/02/2018,"7542 18TH AVE NW
(47.68447199, -122.37973021)",98117,2018,3,"Construct addition to basement, new 2nd story and alterations throughout remaining portions of 1st story and basement of single family residence, per plans"
6543984,Construction,Permit Issued,COMMERCIAL,01/01/2018,"535 TERRY AVE N
(47.62402492, -122.33756682)",98109,2018,1,"Interior alterations to SE portion of Fifth Floor, subject to field inspection (STFI)"
6543998,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/29/2018,"2100 45TH AVE SW
(47.58525393, -122.38879988)",98116,2018,3,"Construct voluntary seismic retrofit to basement of single family residence, per plan."
6544000,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/01/2018,"2676 NE UNIVERSITY VILLAGE ST
(47.66364172, -122.29776403)",98105,2018,1,"Interior demo of tenant space, subject to field inspection (STFI)"
6544005,Construction,Permit Issued,INSTITUTIONAL,05/30/2018,"301 21ST AVE E
(47.62160898, -122.30525929)",98112,2018,5,"Construct tenant improvements to existing Meany Middle School at the NE Annex, complete substantial alterations deferred from AP#6400045, and occupy. Mechanical review included, per plan."
6544007,Construction,Permit Issued,COMMERCIAL,09/24/2018,"1121 NE 45TH ST
(47.66107313, -122.31566724)",98105,2018,9,"Shoring and excavation for construction of parking facility, per plan Review and processing for 2 A/P's under 6544007."
6544013,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/21/2018,"4256 1ST AVE NW
(47.65931116, -122.35697174)",98107,2018,6,"Construct addition and alterations to existing single family residence, per plan."
6544023,Construction,Permit Issued,COMMERCIAL,10/19/2018,"6040 M L KING JR WAY S
(47.5472381, -122.28456947)",98118,2018,10,"Change of use from retail to restaurant, construct alterations for restaurant, occupy per plan."
6544025,Construction,Permit Issued,COMMERCIAL,06/17/2018,"2929 NE BLAKELEY ST
(47.66508074, -122.29607982)",98105,2018,6,"Alterations to existing minor communication utility, per plans."
6544027,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/21/2018,"543 NE 80TH ST
(47.6865242, -122.32107988)",98115,2018,4,"Construct additions and alterations to an exsiting single family residence, per plan."
6544028,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/21/2018,"2426 NW 62ND ST
(47.67414311, -122.38890976)",98107,2018,6,"Establish use as and construct a single family residence, per plans"
6544029,Construction,Permit Issued,MULTIFAMILY,06/01/2018,"2424 NW 62ND ST
(47.67401734, -122.38890802)",98107,2018,6,"Establish use as rowhouse and construct townhouse structure with surface parking, per plan"
6544080,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/19/2018,"3114 NE 117TH ST
(47.71338026, -122.29421847)",98125,2018,2,"Construct alterations to existing single family residence, per plan"
6544081,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/23/2018,"1820A 11TH AVE W
(47.63541678, -122.37149371)",98119,2018,7,"Construct West single family dwelling, per plan. (Establish use as a single family residence and construct three single family dwellings with surface parking / review and process for 3 A/P's under 6544081)."
6544099,Construction,Permit Issued,COMMERCIAL,01/06/2018,"707 S SNOQUALMIE ST
(47.56166246, -122.32371666)",98108,2018,1,"Non-structural interior alterations to live/work Suite 4E, new bedroom and bathroom, subject to field inspection"
6544117,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/09/2018,"7119 AURORA AVE N
(47.68090278, -122.34524598)",98103,2018,11,"Establish use as and construct new single family residence with attached garage, per plan."
6544126,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/26/2018,"7115 AURORA AVE N
(47.68078845, -122.34529257)",98103,2018,11,"Establish use as and construct new single family residence with attached garage, per plan."
6544131,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/21/2018,"3215 39TH AVE W
(47.64920338, -122.40707772)",98199,2018,6,"Establish use as and construct single family residence with attached garage, per plan."
6544177,Construction,Permit Issued,COMMERCIAL,01/05/2018,"550 TERRY AVE N
(47.62398599, -122.3367397)",98109,2018,1,"Office tenant improvements to 2nd floor offices, subject to field inspection (STFI)."
6544196,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/27/2018,"723 24TH AVE S
(47.59591981, -122.30161975)",98144,2018,10,"Establish use as and construct single family residence with attached parking, per plan."
6544197,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/12/2018,"2039 NE 97TH ST
(47.69920926, -122.30517013)",98115,2018,1,"Alterations to bathroom of existing single family residence, subject to field inspection (STFI)."
6544199,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/05/2018,"3848 NE 86TH ST
",66617,2018,1,Construct non-structural alterations to main level of existing single family residence subject to field inspection (STFI).
6544215,Construction,Permit Issued,MULTIFAMILY,10/09/2018,"6320 26TH AVE NW
(47.67512757, -122.38991462)",98107,2018,10,"Construct north 3-unit townhouse structure, per plan (Establish use as rowhouse and construct (2) new townhouse structures with attached parking, per plan. Review and process for 2 AP's under #6544215)"
6544233,Construction,Permit Issued,COMMERCIAL,04/18/2018,"601 UNION ST
(47.610431, -122.33207691)",98101,2018,4,"Construct alterations to existing office to infill the convenience stair between floors 48 and 49, per plan."
6544253,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/14/2018,"4021 41ST AVE NE
(47.65824777, -122.28429235)",98105,2018,6,"Construct alterations in an existing single family residence on the main floor and in the basement to create an accessory dwelling unit, per plan."
6544260,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/06/2018,"11708 3RD AVE NW
(47.7145385, -122.36059718)",98177,2018,3,"Construct additions and alterations to existing single family residence, per plan"
6544275,Construction,Permit Issued,COMMERCIAL,03/28/2018,"11050 8TH AVE NE
(47.71025526, -122.32021551)",98125,2018,3,"Alteration to existing minor communication utility, per plan."
6544288,Construction,Permit Issued,COMMERCIAL,03/21/2018,"8909 14TH AVE S
(47.52356485, -122.31535959)",98108,2018,3,"Construct and maintain one 12ft curb cut to be located along S.Concord St. approx 54' from the north east property line at 14th Ave S.(revised 10/27/2016, L Merz)"
6544334,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/06/2018,"3510 NE 92ND ST
(47.69554599, -122.29000358)",98115,2018,1,"Alterations to existing single family residence, interior only, subject to field inspection (STFI)."
6544335,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/06/2018,"3237 12TH AVE W
(47.64967379, -122.37268096)",98119,2018,1,"Alterations to existing single family, remove existing ADU, per (STFI)"
6544336,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/19/2018,"325 N 90TH ST
(47.69405026, -122.35455042)",98103,2018,7,"Construction of townhouse building with attached parking, per plan"
6544355,Construction,Permit Issued,COMMERCIAL,01/11/2018,"1116 SUMMIT AVE
(47.61162429, -122.32373107)",98101,2018,1,"Alterations (370 sf) to existing commercial building, subject to field inspection (STFI)."
6544373,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/05/2018,"815 W GARFIELD ST
(47.63336196, -122.36852793)",98119,2018,6,"Construct alterations and a deck addition to an existing single family residence, per plan."
6544404,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/06/2018,"9663 47TH AVE SW
(47.51573306, -122.39307482)",98136,2018,1,"Interior alterations to existing single family residence at the basement, subject to field inspection."
6544434,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/09/2018,"2605 W ARMOUR ST
(47.64444798, -122.39062017)",98199,2018,10,"Construct additions and alterations to existing single family residence, per plan."
6544475,Construction,Permit Issued,INDUSTRIAL,03/14/2018,"7100 1ST AVE S
(47.53982159, -122.33371056)",98108,2018,3,"Replace existing wharf wood fender piles with steel pipe piles, per plan."
6544480,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/06/2018,"3829 RAINIER AVE S
(47.56899146, -122.290349)",98118,2018,1,"Demolish fire damage in basement only in existing single family residence, subject to field inspection (STFI.)"
6544491,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/06/2018,"8226 23RD AVE NE
(47.68933223, -122.30233841)",98115,2018,1,"Remove old driveway and expand paved area on property, subject to field inspection. Construct and maintain on e standard residential curbcut 10' wide located along 23rd Ave NE about 14 feet north of the southern property line."
6544548,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/06/2018,"3813 30TH AVE W
(47.65458552, -122.39600743)",98199,2018,1,"Interior alterations to existing basement level (add new bathroom) of single family residence, subject to field inspection (STFI)."
6544555,Construction,Permit Issued,MULTIFAMILY,10/20/2018,"6920 CARLETON AVE S
(47.54054575, -122.32202967)",98108,2018,10,Construct west single family dwelling.[Establish use and construct (2) single family dwellings with attached garage per plan. Process and routing for (2) A/P’s with 6544555].
6544565,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/09/2018,"111 N 92ND ST
(47.69587885, -122.35752958)",98103,2018,7,"Construction a main level addition at the back of the house and remodel existing house, per plan."
6544591,Construction,Permit Issued,INSTITUTIONAL,09/03/2018,"1920 TERRY AVE
(47.61689116, -122.33411022)",98101,2018,9,"Shoring and excavation for future construction of a research building with ground level retail and below grade parking, per plan."
6544594,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/16/2018,"6735 4TH AVE NW
(47.67881786, -122.36173109)",98117,2018,6,"Construct new detached accessory dwelling unit (DADU) to an existing single family residence, per plan."
6544622,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/17/2018,"5553 36TH AVE NE
(47.67002938, -122.2894006)",98105,2018,5,Construct 2nd story addition and substantial alteration to single family dwelling per plan.
6544631,Construction,Permit Issued,MULTIFAMILY,11/16/2018,"1320 UNIVERSITY ST
(47.61287761, -122.32419935)",98101,2018,11,"Establish use as and construct a mixed use building, occupy per plans  (Review and processing for 2 AP's under 6544631)."
6544761,Construction,Permit Issued,COMMERCIAL,08/23/2018,"1000 DENNY WAY
(47.61907205, -122.33652543)",98109,2018,8,"Construct alterations to portion of an existing commercial building, per plans."
6544766,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/07/2018,"10154 RAINIER AVE S
(47.51136661, -122.2440603)",98178,2018,1,Shoreline exemption to repair an existing pier by reframing and redecking w/grated decking Subject To Field Inspection STFI
6544788,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/07/2018,"2503 PERKINS LN W
(47.64093865, -122.41444887)",98199,2018,1,"Interior alterations to an existing single family residence, subject to field inspection (STFI.) Hand dug - no mechanical"
6544790,Construction,Permit Issued,MULTIFAMILY,07/09/2018,"1915 15TH AVE S
(47.58582502, -122.31384985)",98144,2018,7,"Construct West Townhouse, per plan (Establish use as townhouse and construct (1) Duplex and (1) Townhouse structure with surface parking, review and process for 2 AP?s under 6501762)"
6544814,Construction,Permit Issued,INSTITUTIONAL,06/01/2018,"11728 35TH AVE NE
(47.71459858, -122.29131366)",98125,2018,6,"Change use from Single Family Residential to Parks and Open Space and perform associated site work, per plan."
6544815,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/07/2018,"700 W LEE ST
(47.63138822, -122.36672183)",98119,2018,1,Construct alterations to the basement of the existing single family residence subject to field inspection (STFI).
6544825,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/07/2018,"1202 NW 75TH ST
(47.68344581, -122.3716438)",98117,2018,3,"Repair porch and stairs, in-kind, subject to field inspection (STFI)"
6544851,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/29/2018,"4733 34TH AVE NE
(47.66377085, -122.29158077)",98105,2018,6,"Remove existing detached garage and construct new detached garage accessory to single family dwelling, subject to field inspection (STFI)"
6544857,Construction,Permit Issued,COMMERCIAL,01/19/2019,"3455 THORNDYKE AVE W
(47.65189105, -122.37837877)",98119,2019,1,"Initial tenant improvement in commercial building, per plan."
6544858,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/28/2018,"700 W LEE ST
(47.63138822, -122.36672183)",98119,2018,2,"Construct voluntary seismic retrofit and structural alterations to an existing single family residence, per plan."
6544864,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/18/2018,"3647 33RD AVE W
(47.6536629, -122.39987516)",98199,2018,4,"Establish use as and construct a single family residence, per plans."
6544910,Construction,Permit Issued,COMMERCIAL,01/18/2018,"401 1ST AVE W
(47.62224993, -122.35851124)",98119,2018,1,"Blanket Permit for interior non-structural alterations for tenant, NATIONAL CASA. FLOOR 5"
6544911,Construction,Permit Issued,INSTITUTIONAL,04/05/2018,"1492 NE BOAT ST
(47.65126613, -122.31276972)",98105,2018,4,"Interior alterations to Ocean Sciences building at University of Washington, per plans."
6544914,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/23/2018,"1819 1ST AVE N
(47.6353851, -122.35599512)",98109,2018,7,"Construct additions and alterations to existing single family residence including accessory dwelling unit (ADU) at lower level, per plan"
6544916,Construction,Permit Issued,COMMERCIAL,01/08/2018,"401 1ST AVE W
(47.62224993, -122.35851124)",98119,2018,1,"Non-structural interior alterations to commercial building, south central portion of 4th floor, subject to field inspection (STFI.)"
6544968,Construction,Permit Issued,COMMERCIAL,02/24/2018,"1001 4TH AVE
(47.60615304, -122.33389399)",98154,2018,2,"Inteior non-structural tenant improvement for existing commercial building (suite 50), subject to field inspection (STFI)."
6544971,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/10/2018,"7319 LATONA AVE NE
(47.68222385, -122.32704757)",98115,2018,4,"Demolish existing detached garage and slabe and replace side porch and stairs of existing single family residence, Subject to Field Inspection (STFI)."
6544976,Construction,Permit Issued,INDUSTRIAL,08/14/2018,"3958 6TH AVE NW
(47.65553071, -122.36332017)",98107,2018,8,"Change use to light manufacturing in portions of an existing commercial building, occupy per plan."
6544978,Construction,Permit Issued,COMMERCIAL,02/18/2018,"4209 UNIVERSITY WAY NE
(47.65867799, -122.31349528)",98105,2018,2,"Repair fire damaged building, subject to field inspection (STFI)"
6544979,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/06/2018,"1746 NW 60TH ST
(47.67255031, -122.38094766)",98107,2018,9,"Construct Middle single family residence, per plan (Establish use as and construct (3) single family residences with surface parking, review and process for 3 AP's under 6544979)"
6544981,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/08/2018,"1428 E ALOHA ST
(47.62713032, -122.31328672)",98112,2018,1,Construct dormer addition and interior alterations to second floor of existing single family residence Subject To Field Inspection STFI
6545000,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/08/2018,"1822 23RD AVE E
(47.63629829, -122.30189707)",98112,2018,1,"Interior alterations to basement of existing single family residence, subject to field inspection (STFI)."
6545017,Construction,Permit Issued,COMMERCIAL,01/08/2018,"2201 WESTLAKE AVE
(47.61811095, -122.3390982)",98121,2018,1,"Construct interior alterations to 5th floor of existing commercial building, subject to field inspection, (STFI)."
6545033,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/08/2018,"4555 PURDUE AVE NE
(47.67004805, -122.27771421)",98105,2018,1,"Construct one story addition under existing second story addition of  existing single family residence, subject to field inspection, STFI."
6545064,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/27/2018,"3044 38TH AVE W
(47.64813529, -122.40544419)",98199,2018,1,Construct interior alterations to an exsiting single family residence subject to field inspection (STFI)
6545069,Construction,Permit Issued,MULTIFAMILY,04/14/2018,"2525 14TH AVE S
(47.58036028, -122.31564369)",98144,2018,4,"Establish use for additional parking accessory to multi-family structure, per plan."
6545077,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/20/2018,"4126 40TH AVE SW
(47.56564254, -122.38254975)",98116,2018,12,"Establish use as and construct new single family residence, per plan."
6545119,Construction,Permit Issued,COMMERCIAL,02/06/2018,"3800 LAKE WASHINGTON BLVD S
(47.57046165, -122.2776446)",98118,2018,2,"Install temporary bleachers and viewing stands for Seafair Weekend, August 5-7, 2016 per plans"
6545122,Construction,Permit Issued,MULTIFAMILY,09/30/2018,"7058 15TH AVE NW
(47.68129243, -122.3765451)",98117,2018,9,"Construct new mixed used building to the West, occupy per plan. (Establish use as live/work units and townhouse and construct 1 new mixed use building and 1 new duplex with surface parking occupy per plan. Reviews and process under 6545122)."
6545124,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/26/2018,"3044 S WILLOW ST
(47.54087298, -122.29129141)",98108,2018,3,"Construct fire damage repairs to existing duplex residence on Southeast corner of property, per plan."
6545128,Construction,Permit Issued,COMMERCIAL,09/30/2018,"3012 NE 55TH ST
(47.66871353, -122.29430784)",98105,2018,9,"Alterations and an addition (substantial alteration) to an existing commercial building, per plan."
6545147,Construction,Permit Issued,INSTITUTIONAL,05/07/2018,"3900 OKANOGAN LN NE
(47.65348331, -122.30878203)",98195,2018,5,"Alterations to elevator #14 for existing classroom building (Bagley Hall) for the University of Washington, per plans"
6545184,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/11/2018,"2150 E HAMLIN ST
(47.64576182, -122.30221404)",98112,2018,2,"Construct alterations (Voluntary seismic retrofit) to an existing single family residence, per plan."
6545253,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/11/2018,"327 NW 77TH ST
(47.68454223, -122.36192033)",98117,2018,1,Construct addition to an existing single family residence subject to field inspection (STFI)
6545267,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/19/2018,"517 N 97TH ST
(47.69949804, -122.3518508)",98103,2018,3,"Construct detached single family accessory dwelling unit, per plan."
6545275,Construction,Permit Issued,COMMERCIAL,05/18/2018,"1701 MINOR AVE
(47.61627876, -122.33032266)",98101,2018,5,Tenant improvement to the sw portion of the lobby on the ground floor of the exisitng commercial building subject to field inspection (STFI).
6545277,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/02/2018,"458 MCGILVRA BLVD E
(47.62431396, -122.2839276)",98112,2018,8,"Remove pool and spa, construct alterations to dwelling, and alter landscape and hardscape to single family residence per plan."
6545281,Construction,Permit Issued,COMMERCIAL,01/15/2018,"2210 WESTLAKE AVE
(47.61826669, -122.33811602)",98121,2018,1,Construct interior alterations of an existing Whole Foods subject to field inspection (STFI)
6545282,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/24/2018,"8344 14TH AVE NW
(47.69009705, -122.37381416)",98117,2018,2,"Construct voluntary seismic upgrade to basement and crawlspace of existing residence, per plan."
6545302,Construction,Permit Issued,INSTITUTIONAL,01/12/2018,"2401 S IRVING ST
(47.59096437, -122.29986094)",98144,2018,1,Reroof and repair portions of existing roof for an institutional building subject to field inspection.
6545341,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/11/2018,"2121 46TH AVE SW
(47.58477876, -122.39081459)",98116,2018,1,"Construct alterations to rebuild porch stem wall and footer for existing single family residence, subject to field inspection, STFI"
6545344,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/21/2018,"209 35TH AVE E
(47.6204826, -122.28822522)",98112,2018,6,"Construct a partial 2nd floor addition and alterations to an existing single family residence, per plan."
6545374,Construction,Permit Issued,MULTIFAMILY,07/31/2018,"1630 43RD AVE E
(47.63429424, -122.27653038)",98112,2018,7,Construct alterations to existing Park Shore Retirement facility and occupy per plan.
6545385,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/30/2018,"2506 10TH AVE W
(47.6409222, -122.36971178)",98119,2018,3,"Construct alterations at basement, including voluntary seismic retrofit, of existing single family residence, per plan."
6545429,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/14/2018,"11651 BEACON AVE S
(47.498136, -122.2642064)",98178,2018,8,"Establish use as and construct new single family residence with attached garage, per plan."
6545478,Construction,Permit Issued,COMMERCIAL,06/18/2018,"301 E PINE ST
(47.61507396, -122.32759339)",98122,2018,6,"Establish use as general sales and service with cafe and construct initial tenant improvement for same in portion of an existing mixed use building, occupy per plan."
6545504,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/18/2018,"2003 PARKSIDE DR E
(47.63681348, -122.29129702)",98112,2018,5,"Construct deck addition accessory to existing SFR, subject to field inspectdoin"
6545508,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/12/2018,"9216 21ST AVE SW
(47.52045049, -122.36029266)",98106,2018,1,"Repair to support post in basement of existing single family residence, subject to field inspection (STFI.)"
6545522,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/02/2018,"11900 LAKESIDE AVE NE
(47.71544555, -122.28007436)",98125,2018,11,"Foundation shoring for an existing single family residence, per plan.  Note: Scope has increased to include basement improvement and carport replacement."
6545542,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/01/2018,"1900 16TH AVE S
(47.58623694, -122.31187203)",98144,2018,11,"Construct addition and alterations to existing single family residence, per plan."
6545590,Construction,Permit Issued,COMMERCIAL,07/17/2018,"333 8TH AVE N
(47.62155451, -122.34145342)",98109,2018,7,"Shoring and Excavation for construction of an office and retail building with below grade parking, per plan"
6545596,Construction,Permit Issued,COMMERCIAL,04/10/2018,"110 PREFONTAINE PL S
(47.60159676, -122.32916938)",98104,2018,4,"Construction of temporary stair for egress from building, per plan (bridge being demolished under separate permit)"
6545620,Construction,Permit Issued,COMMERCIAL,07/11/2018,"616 1ST AVE
(47.60247208, -122.33373893)",98104,2018,7,"Construct alterations in basement of an existing commercial building near the elevator, per plan."
6545641,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/20/2018,"3204 SW HOLLY ST
(47.54303399, -122.37410678)",98126,2018,12,"Establish use as and construct a single family residence with attached garage, per plan (Establish Standard Plan 6554014)"
6545642,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/23/2018,"1432 S KING ST
(47.59852662, -122.31197697)",98144,2018,3,"Construct South Duplex, per plan. (Establish use as rowhouse and construct two duplexex with attached and detached parking, per plan. Reviews and processing for 2 AP's under 6509700)"
6545645,Construction,Permit Issued,MULTIFAMILY,10/09/2018,"1632 S LANE ST
(47.59681956, -122.31005361)",98144,2018,10,"Construct new duplex to the South, per plan (Establish use as single family residence and townhouse and construct 1 new single family residence and 1 new duplex with surface parking. Review & process for 2 AP's under #6522793)"
6545661,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/13/2018,"1716 NE 130TH PL
(47.72469132, -122.31015069)",98125,2018,12,"Establish use and construct a single family dwelling with attached garaage and a detached accessory garden shed, all per plan."
6545677,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/30/2018,"4055 W RUFFNER ST
(47.65210433, -122.40925569)",98199,2018,4,"Construct alterations and addition to an existing single family residence, per plan."
6545717,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/15/2018,"4730 THACKERAY PL NE
(47.66408264, -122.32588613)",98105,2018,5,"Construct alterations and 2 story addition to an existing single family residence, per plans."
6545755,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/24/2018,"4858 49TH AVE SW
(47.55771426, -122.39467308)",98116,2018,12,"Establish use as and construct new single family residence with detached garage, per plan."
6545788,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/24/2018,"2306 2ND AVE N
(47.63941793, -122.35288799)",98109,2018,3,"Voluntary seismic retrofit to existing single family residence, per plan."
6545789,Construction,Permit Issued,COMMERCIAL,01/13/2018,"500 BOREN AVE N
(47.6238397, -122.33561795)",98109,2018,1,"Tenant improvements to SE area of 3rd floor, subject to field inspection (STFI)."
6545808,Construction,Permit Issued,COMMERCIAL,01/13/2018,"2021 7TH AVE
(47.61523711, -122.33836402)",98121,2018,1,"Construct alterations on the SW corner of the 30th floor of Amazon, subject to field inspection (STFI)"
6545826,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/17/2018,"4705 S MEAD ST
(47.55026016, -122.27389324)",98118,2018,10,"Establish use as single family residence and construct one family dwelling, per plans"
6545828,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/15/2018,"4010 LINDEN AVE N
(47.65576921, -122.3483071)",98103,2018,8,"Establish use as townhouse and construct a two-family dwelling, per plans."
